Area	DAP	Producao
1	9.78	1.00
1	6.62	1.00
1	9.68	1.00
1	11.78	1.00
1	7.96	1.00
1	10.51	1.00
1	10.19	1.00
2	5.00	0.00
2	8.70	0.00
2	7.60	0.00
2	16.10	0.00
2	5.00	0.00
2	4.50	1.00
2	16.80	0.00
2	4.80	0.00
2	4.60	0.00
2	4.95	0.00
2	4.50	0.00
2	5.50	0.00
2	2.95	0.00
2	6.10	0.00
2	6.00	0.00
2	5.40	0.00
2	6.70	0.00
2	4.80	0.00
2	6.20	0.00
2	5.60	0.00
2	11.27	0.00
2	3.00	0.00
2	6.90	0.00
2	16.70	0.00
2	4.95	0.00
2	15.80	0.00
2	5.00	0.00
2	5.32	0.00
2	6.70	0.00
2	6.00	0.00
2	4.50	0.00
2	5.85	0.00
2	5.70	1.00
2	7.31	0.00
2	10.00	0.00
2	8.00	0.00
2	3.50	0.00
2	5.50	0.00
2	4.60	0.00
2	3.60	0.00
2	5.00	0.00
2	4.60	0.00
2	6.40	0.00
3	4.50	0.00
3	8.80	1.00
3	4.20	0.00
3	13.10	1.00
3	2.90	0.00
3	4.20	0.00
3	2.35	0.00
3	8.95	1.00
3	2.50	0.00
3	9.56	1.00
3	3.95	0.00
3	3.17	0.00
3	3.26	0.00
3	5.10	0.00
3	7.00	0.00
3	4.80	0.00
3	2.25	0.00
3	6.50	1.00
4	10.00	1.00
4	3.00	0.00
4	6.20	1.00
4	11.20	1.00
4	3.75	0.00
4	3.40	0.00
4	2.50	0.00
4	6.30	0.00
4	3.05	0.00
4	4.00	0.00
4	3.20	0.00
4	6.20	1.00
4	2.60	0.00
4	2.50	0.00
4	6.35	0.00
4	10.65	0.00
4	3.30	1.00
4	7.00	0.00
4	3.63	1.00
4	3.50	0.00
4	3.00	0.00
4	4.80	0.00
4	4.30	0.00
4	11.85	1.00
4	9.30	0.00
4	6.40	0.00
4	5.90	0.00
4	3.60	0.00
4	6.20	0.00
4	3.90	1.00
4	6.20	0.00
4	4.45	0.00
4	5.20	0.00
4	5.10	1.00
5	3.75	0.00
5	6.80	1.00
5	6.85	0.00
5	6.50	0.00
5	5.50	1.00
5	5.30	0.00
5	4.30	0.00
5	6.50	0.00
5	3.10	0.00
5	3.00	0.00
5	4.30	0.00
5	3.50	0.00
5	5.00	0.00
5	4.00	0.00
5	3.55	0.00
5	2.80	0.00
5	4.80	1.00
5	6.60	1.00
5	5.00	0.00
5	4.50	0.00
5	3.00	0.00
6	3.80	0.00
6	1.79	0.00
6	4.10	1.00
6	8.00	1.00
6	7.60	1.00
6	3.10	0.00
6	5.50	0.00
6	8.30	1.00
6	1.90	0.00
6	5.40	0.00
6	1.33	0.00
6	5.10	1.00
6	5.80	1.00
6	3.30	0.00
6	2.05	0.00
6	6.10	0.00
6	7.00	0.00
6	8.10	1.00
6	5.67	0.00
6	3.80	0.00
6	3.15	0.00
6	2.70	0.00
6	3.20	0.00
6	9.95	1.00
6	4.05	0.00
6	5.90	0.00
6	6.85	0.00
6	4.95	0.00
6	2.85	0.00
6	9.15	1.00
6	6.60	1.00
6	4.25	0.00
6	5.25	1.00
6	7.20	0.00
6	6.60	1.00
6	4.60	0.00
6	5.10	0.00
6	3.75	0.00
