Armazenamento  ConcAcido  Germinacao
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  0  0
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  1
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
0  10  0
